"Date ","Symbol ","Security Name ","Client Name ","Buy / Sell ","Quantity Traded ","Trade Price / Wght. Avg. Price ","Remarks "
"10-SEP-2024","AERON","Aeron Composite Limited","MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED","SELL","90,000","156.45","-"
"10-SEP-2024","ANNAPURNA","Annapurna Swadisht Ltd","BRIDGE INDIA FUND","SELL","1,69,000","415.54","-"
"10-SEP-2024","ANNAPURNA","Annapurna Swadisht Ltd","LEADING LIGHT FUND VCC THE TRIUMPH FUND","SELL","3,63,000","419.22","-"
"10-SEP-2024","ANNAPURNA","Annapurna Swadisht Ltd","SUMICKSHA BANSAL","BUY","1,22,000","417.72","-"
"10-SEP-2024","ANNAPURNA","Annapurna Swadisht Ltd","SUMICKSHA BANSAL","SELL","1,22,000","419.08","-"
"10-SEP-2024","BEARDSELL","Beardsell Limited","NK SECURITIES RESEARCH PRIVATE LIMITED","SELL","2,46,945","46.79","-"
"10-SEP-2024","BEARDSELL","Beardsell Limited","NK SECURITIES RESEARCH PRIVATE LIMITED","BUY","2,46,945","46.66","-"
"10-SEP-2024","BULKCORP","Bulkcorp International L","STEPTRADE REVOLUTION FUND","BUY","84,000","110.70","-"
"10-SEP-2024","CMMIPL","CMM Infraprojects Limited","NITA MAHESH DOSHI","BUY","99,000","2.75","-"
"10-SEP-2024","DCW","DCW Ltd","HRTI PRIVATE LIMITED","BUY","14,86,773","101.13","-"
"10-SEP-2024","DCW","DCW Ltd","HRTI PRIVATE LIMITED","SELL","15,37,237","101.33","-"
"10-SEP-2024","DHARIWAL","Dhariwalcorp Limited","BAHETI PANKAJ HUF","BUY","50,400","150.00","-"
"10-SEP-2024","ECOSMOBLTY","Ecos (India) Mob & Hosp L","GRAVITON RESEARCH CAPITAL LLP","SELL","5,58,627","506.41","-"
"10-SEP-2024","ECOSMOBLTY","Ecos (India) Mob & Hosp L","GRAVITON RESEARCH CAPITAL LLP","BUY","5,58,627","506.44","-"
"10-SEP-2024","EPACK","EPACK Durable Limited","GRAVITON RESEARCH CAPITAL LLP","BUY","5,86,047","295.09","-"
"10-SEP-2024","EPACK","EPACK Durable Limited","GRAVITON RESEARCH CAPITAL LLP","SELL","5,86,047","295.20","-"
"10-SEP-2024","ESFL","Essen Speciality Films L","MANSI SHARE AND STOCK ADVISORS PVT LTD","BUY","66,000","362.80","-"
"10-SEP-2024","ESFL","Essen Speciality Films L","MANSI SHARE AND STOCK ADVISORS PVT LTD","SELL","1,42,800","362.90","-"
"10-SEP-2024","ESFL","Essen Speciality Films L","MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED","BUY","88,200","362.90","-"
"10-SEP-2024","ESFL","Essen Speciality Films L","MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED","SELL","1,06,200","362.90","-"
"10-SEP-2024","GATECH","GACM Technologies Limited","BASUKINATH PROPERTIES PVT LTD","SELL","40,00,000","1.50","-"
"10-SEP-2024","GATECH","GACM Technologies Limited","GURVINDER SINGH","SELL","44,21,559","1.54","-"
"10-SEP-2024","GATECH","GACM Technologies Limited","GURVINDER SINGH","BUY","48,61,562","1.54","-"
"10-SEP-2024","GATECH","GACM Technologies Limited","MAHAMMADFARUK HAJIBHAI MIR","BUY","2,15,15,363","1.53","-"
"10-SEP-2024","GATECH","GACM Technologies Limited","MAHAMMADFARUK HAJIBHAI MIR","SELL","2,85,02,594","1.54","-"
